"vnid","vintage","PriceHistory"
"1000001","2013","[{202107,38}]"
"1000232","2008","[{201212,18},{201301,18},{201303,18},{201306,18},{201309,17},{201312,17},{201403,27},{201406,27},{201409,23},{201412,25},{201501,25},{201506,24},{201512,33},{201601,33},{201602,30},{201606,33},{201609,30},{201612,30},{201701,30},{201703,30},{201706,30},{201709,32},{201712,32},{201801,31},{201803,37},{201806,34},{201809,37},{201812,33},{201901,38},{201903,38},{201906,38}]"
"1000232","2007","[{201203,18},{201206,19},{201209,18},{201303,26},{201306,26},{201309,24},{201312,28},{201401,28},{201403,33},{201406,30},{201409,30},{201412,24},{201503,24},{201512,26},{201601,25},{201602,25},{201606,25},{201609,25},{201612,26},{201701,26},{201703,26},{201706,25},{201901,28},{201903,29},{201906,28},{201909,28},{201912,29},{202001,29},{202003,29},{202107,39}]"
"1000245","2005","[{201201,81},{201203,81},{201206,81},{201209,81},{201303,81},{201306,82},{201309,82},{201312,92},{201401,92},{201403,92},{201406,94},{201409,94},{201412,95},{201501,95},{201503,95},{201506,95},{201509,102},{201512,94},{201601,94},{201602,94},{201606,94},{201609,94},{201612,93},{201701,93},{201703,87},{201706,85},{201709,81},{201712,87},{201801,83},{201803,82},{201806,95},{201809,96},{201812,101},{201901,89},{201903,98},{201906,97},{201909,94},{201912,98},{202001,98},{202003,98},{202006,98},{202009,95},{202012,89},{202101,89},{202102,88},{202103,90},{202104,90},{202105,90},{202106,91},{202107,93},{202109,93},{202110,93},{202111,95},{202112,92},{202201,92},{202202,93},{202203,94},{202204,94},{202205,97},{202206,92},{202207,94},{202208,93},{202209,96},{202210,91}]"
"1000287","2010","[{201506,19},{201612,41},{201701,40},{201703,40},{201706,40},{201709,39},{201712,38},{201801,38},{201803,42},{201806,43},{201809,47},{201812,47},{201901,48},{201903,48},{201906,51},{201909,52},{201912,52},{202001,55},{202003,52},{202006,52},{202009,49},{202012,53},{202101,53},{202102,50},{202103,54},{202104,56},{202105,54},{202106,52},{202107,51},{202109,67},{202110,62},{202111,51},{202112,58},{202201,58},{202202,57},{202203,50},{202204,57},{202205,54},{202206,51},{202207,86},{202208,91},{202209,99},{202210,95}]"
"1000287","1990","[{200912,79},{201012,71},{201101,70},{201206,100},{201209,100},{201301,166},{201303,197},{201306,137},{201309,202},{201312,191},{201401,189},{201403,191},{201406,181},{201412,172},{201501,160},{201503,160},{201506,160},{201512,150},{201601,150},{201602,110},{201606,150},{201609,150},{201703,125},{201706,133},{201709,133},{201801,133},{201803,133},{201806,133},{201809,143},{201812,143},{201901,147},{201903,149},{201906,148},{201909,158},{201912,142},{202001,143},{202003,133},{202006,133},{202009,161},{202012,188},{202103,137},{202106,156},{202107,127},{202109,128},{202110,129},{202111,129},{202112,133},{202207,197},{202208,202},{202209,201},{202210,193}]"
"1000287","2008","[{201606,41},{201609,41},{201612,42},{201701,42},{201703,40},{201706,45},{201709,44},{201712,44},{201801,42},{201803,42},{201806,44},{201809,44},{201812,44},{201901,42},{201903,44},{201906,46},{201909,45},{201912,45},{202001,44},{202003,47},{202006,46},{202009,46},{202012,49},{202101,48},{202102,51},{202103,42},{202104,50},{202105,40},{202106,52},{202107,50},{202109,50},{202110,50},{202111,50},{202112,53},{202201,54},{202202,56},{202203,56},{202204,56},{202205,56},{202206,60},{202207,60},{202208,60},{202209,60},{202210,60}]"
"1000287","2012","[{201501,12},{201503,12},{202003,45},{202006,48},{202009,47},{202012,49},{202101,48},{202102,49},{202103,50},{202104,50},{202105,50},{202106,51},{202107,52},{202109,50},{202110,50},{202111,51},{202112,54},{202201,55},{202202,54},{202203,51},{202204,50},{202205,49},{202206,49},{202207,50},{202208,50},{202209,50},{202210,54}]"
"1000287","2009","[{201403,41},{201406,41},{201409,35},{201412,40},{201501,42},{201503,44},{201506,45},{201509,42},{201512,47},{201601,45},{201602,45},{201606,45},{201609,43},{201612,42},{201701,42},{201703,44},{201706,43},{201709,41},{201712,40},{201801,41},{201803,41},{201806,43},{201809,47},{201812,49},{201901,41},{201903,42},{201906,42},{201909,42},{201912,40},{202001,42},{202003,42},{202006,53},{202009,42},{202012,48},{202101,53},{202102,49},{202103,53},{202104,53},{202105,45},{202106,49},{202107,50},{202109,48},{202110,48},{202111,52},{202112,53},{202201,71},{202202,61},{202203,63},{202204,62},{202205,55},{202206,54},{202207,51},{202208,54},{202209,53},{202210,54}]"
"1000287","2011","[{201812,45},{201901,43},{201903,44},{201906,43},{201909,45},{201912,44},{202001,44},{202003,44},{202006,46},{202009,47},{202012,51},{202101,51},{202102,50},{202103,51},{202104,51},{202105,52},{202106,50},{202107,54},{202109,52},{202110,53},{202111,56},{202112,56},{202201,58},{202202,57},{202203,57},{202204,58},{202205,58},{202206,58},{202207,61},{202208,61},{202209,63},{202210,62}]"
