vnid,vintage,date,price
1000001,2013,2021-07-01,38
1000232,2008,2012-12-01,18
1000232,2008,2013-01-01,18
1000232,2008,2013-03-01,18
1000232,2008,2013-06-01,18
1000232,2008,2013-09-01,17
1000232,2008,2013-12-01,17
1000232,2008,2014-03-01,27
1000232,2008,2014-06-01,27
1000232,2008,2014-09-01,23
1000232,2008,2014-12-01,25
1000232,2008,2015-01-01,25
1000232,2008,2015-06-01,24
1000232,2008,2015-12-01,33
1000232,2008,2016-01-01,33
1000232,2008,2016-02-01,30
1000232,2008,2016-06-01,33
1000232,2008,2016-09-01,30
1000232,2008,2016-12-01,30
1000232,2008,2017-01-01,30
1000232,2008,2017-03-01,30
1000232,2008,2017-06-01,30
1000232,2008,2017-09-01,32
1000232,2008,2017-12-01,32
1000232,2008,2018-01-01,31
1000232,2008,2018-03-01,37
1000232,2008,2018-06-01,34
1000232,2008,2018-09-01,37
1000232,2008,2018-12-01,33
1000232,2008,2019-01-01,38
1000232,2008,2019-03-01,38
1000232,2008,2019-06-01,38
1000232,2007,2012-03-01,18
1000232,2007,2012-06-01,19
1000232,2007,2012-09-01,18
1000232,2007,2013-03-01,26
1000232,2007,2013-06-01,26
1000232,2007,2013-09-01,24
1000232,2007,2013-12-01,28
1000232,2007,2014-01-01,28
1000232,2007,2014-03-01,33
1000232,2007,2014-06-01,30
1000232,2007,2014-09-01,30
1000232,2007,2014-12-01,24
1000232,2007,2015-03-01,24
1000232,2007,2015-12-01,26
1000232,2007,2016-01-01,25
1000232,2007,2016-02-01,25
1000232,2007,2016-06-01,25
1000232,2007,2016-09-01,25
1000232,2007,2016-12-01,26
1000232,2007,2017-01-01,26
1000232,2007,2017-03-01,26
1000232,2007,2017-06-01,25
1000232,2007,2019-01-01,28
1000232,2007,2019-03-01,29
1000232,2007,2019-06-01,28
1000232,2007,2019-09-01,28
1000232,2007,2019-12-01,29
1000232,2007,2020-01-01,29
1000232,2007,2020-03-01,29
1000232,2007,2021-07-01,39
1000245,2005,2012-01-01,81
1000245,2005,2012-03-01,81
1000245,2005,2012-06-01,81
1000245,2005,2012-09-01,81
1000245,2005,2013-03-01,81
1000245,2005,2013-06-01,82
1000245,2005,2013-09-01,82
1000245,2005,2013-12-01,92
1000245,2005,2014-01-01,92
1000245,2005,2014-03-01,92
1000245,2005,2014-06-01,94
1000245,2005,2014-09-01,94
1000245,2005,2014-12-01,95
1000245,2005,2015-01-01,95
1000245,2005,2015-03-01,95
1000245,2005,2015-06-01,95
1000245,2005,2015-09-01,102
1000245,2005,2015-12-01,94
1000245,2005,2016-01-01,94
1000245,2005,2016-02-01,94
1000245,2005,2016-06-01,94
1000245,2005,2016-09-01,94
1000245,2005,2016-12-01,93
1000245,2005,2017-01-01,93
1000245,2005,2017-03-01,87
1000245,2005,2017-06-01,85
1000245,2005,2017-09-01,81
1000245,2005,2017-12-01,87
1000245,2005,2018-01-01,83
1000245,2005,2018-03-01,82
1000245,2005,2018-06-01,95
1000245,2005,2018-09-01,96
1000245,2005,2018-12-01,101
1000245,2005,2019-01-01,89
1000245,2005,2019-03-01,98
1000245,2005,2019-06-01,97
1000245,2005,2019-09-01,94
1000245,2005,2019-12-01,98
1000245,2005,2020-01-01,98
1000245,2005,2020-03-01,98
1000245,2005,2020-06-01,98
1000245,2005,2020-09-01,95
1000245,2005,2020-12-01,89
1000245,2005,2021-01-01,89
1000245,2005,2021-02-01,88
1000245,2005,2021-03-01,90
1000245,2005,2021-04-01,90
1000245,2005,2021-05-01,90
1000245,2005,2021-06-01,91
1000245,2005,2021-07-01,93
1000245,2005,2021-09-01,93
1000245,2005,2021-10-01,93
1000245,2005,2021-11-01,95
1000245,2005,2021-12-01,92
1000245,2005,2022-01-01,92
1000245,2005,2022-02-01,93
1000245,2005,2022-03-01,94
